run_id,stage,top_n,lookback_days,min_amount,max_weight_per_stock,dividend_weight,volatility_weight,value_weight,total_return,annual_return,max_drawdown,sharpe,turnover,trade_count,status,error,elapsed_sec
24,A,5,40,50000.0,,0.6,0.3,0.1,1.9924409328629964,0.2561958303341272,-0.14404472214827035,1.6150780442352104,61.07889826472773,429,ok,,3.821704
25,A,5,40,50000.0,,0.7,0.2,0.1,1.7827369493815048,0.23734644648713576,-0.1416479849190334,1.4535433422512114,58.68489101751367,430,ok,,3.968067
26,A,5,40,50000.0,,0.5,0.3,0.2,1.3761812185109896,0.19734060731320358,-0.136513458355922,1.3110143385766633,47.42538391645777,395,ok,,4.007401
27,A,5,40,50000.0,,0.6,0.2,0.2,1.8983221755353266,0.24786972164259247,-0.11693485973747508,1.5244319501171741,54.301062205002125,420,ok,,4.146765
28,A,5,60,0.0,,0.5,0.5,0.0,1.4620372994210564,0.2062170743703826,-0.14856072691376376,1.2482695613188084,61.26319495158485,440,ok,,116.957514
29,A,5,60,0.0,,0.6,0.4,0.0,1.7952460244393587,0.23850183790319557,-0.1436544635140744,1.3149992538357589,61.06295556125215,435,ok,,5.158423
30,A,5,60,0.0,,0.7,0.3,0.0,1.6730290788611577,0.2270330421997293,-0.1651628445934622,1.205332863944673,64.58237333953213,448,ok,,4.282248
31,A,5,60,0.0,,0.8,0.2,0.0,1.9339928820977907,0.2510501428692169,-0.1630420147274113,1.3090046993346551,63.05365806900212,440,ok,,3.849466
32,A,5,60,0.0,,0.5,0.4,0.1,1.531851064735585,0.21325600188135296,-0.16781013786311016,1.4064670728095134,52.40003693732857,410,ok,,3.69632
33,A,5,60,0.0,,0.6,0.3,0.1,2.212399322024618,0.2748744449973455,-0.17607108065258004,1.7021632920499856,53.69308605406818,413,ok,,3.924281
34,A,5,60,0.0,,0.7,0.2,0.1,2.139378177243414,0.26878906471166863,-0.16065781077073937,1.5707233467611166,53.36817493819638,422,ok,,4.104214
35,A,5,60,0.0,,0.5,0.3,0.2,1.6417194864883848,0.22402828024889176,-0.17388079100790432,1.4420042411400975,50.094651180604885,398,ok,,3.949827
36,A,5,60,0.0,,0.6,0.2,0.2,1.7884725381560083,0.2378767193746063,-0.15609701650607,1.4633798261035216,52.153084910360114,411,ok,,4.557104
37,A,5,60,10000.0,,0.5,0.5,0.0,1.0432955425742043,0.1603194926125131,-0.14854041832564047,1.1634963110351586,60.63574088000948,436,ok,,116.645989
38,A,5,60,10000.0,,0.6,0.4,0.0,1.339523854172616,0.19347315369682594,-0.1380185085457415,1.3195898403502901,60.81080027162058,437,ok,,5.48878
39,A,5,60,10000.0,,0.7,0.3,0.0,1.5979491366686607,0.2197800367903353,-0.15023410438616835,1.3454038264484236,64.75582724722763,445,ok,,4.379186
40,A,5,60,10000.0,,0.8,0.2,0.0,2.2612126459640813,0.27888159312421656,-0.14770983931934945,1.5374192310108328,64.75376135481811,450,ok,,4.10178
41,A,5,60,10000.0,,0.5,0.4,0.1,1.453608501956758,0.20535659121370453,-0.1677658678350905,1.3999563199609282,51.5701377319995,411,ok,,3.847404
42,A,5,60,10000.0,,0.6,0.3,0.1,2.1307084604010895,0.2680591325253643,-0.17163496811131074,1.6819572081071856,53.75995561910014,412,ok,,4.012078
43,A,5,60,10000.0,,0.7,0.2,0.1,1.7707057912879822,0.23623131070925063,-0.1870212274010199,1.417482141713246,51.10438270656392,412,ok,,4.215566
