signal_date,trade_date,ts_code,side,shares,price,gross_amount,commission,stamp_duty,slippage,cash_after
20210129,20210201,002146.SZ,buy,34000.0,5.872821939759035,199675.9459518072,59.902783785542155,0.0,99.78807893642806,800264.1512644072
20210129,20210201,600016.SH,buy,52500.0,3.8154476820488226,200311.0033075632,60.09330099226895,0.0,100.10544892933103,599893.0546558518
20210129,20210201,601006.SH,buy,43500.0,4.602387049366371,200203.83664743713,60.061150994231134,0.0,100.05189237752347,399629.15685742046
20210129,20210201,601169.SH,buy,57200.0,3.4716328563599825,198577.399383791,59.57321981513729,0.0,99.23908015180496,200992.18425381434
20210129,20210201,601328.SH,buy,62500.0,3.2106149046411643,200663.43154007278,60.19902946202183,0.0,100.28157498253859,268.55368427952635
20210226,20210301,002146.SZ,sell,34000.0,6.222524904445368,211565.84675114253,63.46975402534275,105.78292337557127,105.83584129618248,211665.14775802114
20210226,20210301,600016.SH,buy,600.0,3.8826473476817767,2329.588408609066,5.0,0.0,1.1642120982551205,209330.55934941207
20210226,20210301,601169.SH,buy,1100.0,3.5157637825001524,3867.340160750168,5.0,0.0,1.9327037285111146,205458.2191886619
20210226,20210301,601328.SH,buy,200.0,3.289800474038144,657.9600948076288,5.0,0.0,0.32881563958403603,204795.25909385426
20210226,20210301,601988.SH,buy,85400.0,2.3898166021671825,204090.33782507738,61.22710134752321,0.0,101.99417182660545,643.6941674293485
20210331,20210401,601006.SH,sell,1700.0,5.066948897295252,8613.813125401928,5.0,4.306906562700964,4.3090610932467825,9248.200386268576
20210331,20210401,601328.SH,sell,3200.0,3.566980546062544,11414.33774740014,5.0,5.707168873700071,5.710023885641931,20651.830964795015
20210331,20210401,600016.SH,buy,3800.0,3.7557146459306416,14271.715654536438,5.0,0.0,7.132291681426068,6375.115310258578
20210331,20210401,601169.SH,buy,1600.0,3.5304740912135415,5648.758545941666,5.0,0.0,2.822967789074937,721.3567643169117
20210331,20210401,601988.SH,buy,100.0,2.4709523510061917,247.09523510061916,5.0,0.0,0.12348587461298166,469.26152921629256
20210430,20210506,601006.SH,sell,300.0,4.951462882542084,1485.4388647626251,5.0,0.7427194323813125,0.7430909778702244,1948.9576745465363
20210430,20210506,601169.SH,sell,1200.0,3.504901972842964,4205.8823674115565,5.0,2.102941183705778,2.103993180296129,6147.737100774387
20210430,20210506,601988.SH,sell,300.0,2.402165189628483,720.6495568885448,5.0,0.3603247784442724,0.3605050309597573,6863.026332884488
20210430,20210506,600016.SH,buy,1900.0,3.509315871943144,6667.7001566919735,5.0,0.0,3.332183986352902,190.32617619251414
20210531,20210601,601169.SH,sell,1000.0,3.6004234102579717,3600.4234102579717,5.0,1.8002117051289859,1.8011122612592771,3783.9493747453566
20210531,20210601,601328.SH,sell,300.0,3.516640094807629,1054.9920284422888,5.0,0.5274960142211443,0.5277598941681845,4833.413907173424
20210531,20210601,601988.SH,sell,600.0,2.446376818885449,1467.8260913312695,5.0,0.7339130456656348,0.7342801857582799,6295.506085459028
20210531,20210601,600016.SH,buy,700.0,3.524249130972689,2466.974391680882,5.0,0.0,1.2328707604597184,3823.5316937781463
20210531,20210601,601006.SH,buy,700.0,4.9347415301683375,3454.3190711178363,5.0,0.0,1.7262963873649824,364.21262266031
20210630,20210701,601328.SH,sell,59200.0,3.531023080880462,209036.56638812335,62.710969916437,104.51828319406168,104.570568478317,209233.54975767317
20210630,20210701,601169.SH,sell,900.0,3.5857278045018166,3227.155024051635,5.0,1.6135775120258176,1.6143847043776987,212454.09120421277
20210630,20210701,600016.SH,buy,200.0,3.4570320161215604,691.406403224312,5.0,0.0,0.3455304363939149,211757.68480098847
20210630,20210701,601006.SH,buy,400.0,4.768564289767354,1907.4257159069414,5.0,0.0,0.9532362398333589,209845.25908508152
20210630,20210701,601288.SH,buy,87100.0,2.3705087212413054,206471.3096201177,61.94139288603531,0.0,103.1840627786587,3312.0080720777623
20210630,20210701,601988.SH,buy,1300.0,2.416099086687306,3140.928812693498,5.0,0.0,1.5696795665635364,166.07925938426433
20210730,20210802,600016.SH,sell,59700.0,3.1097817449763197,185653.9701750863,55.69619105252588,92.82698508754315,92.87342179840198,185671.5262583305
20210730,20210802,601288.SH,sell,2400.0,2.2746602104512217,5459.184505082932,5.0,2.729592252541466,2.7309577314063063,191122.98117116088
20210730,20210802,601988.SH,sell,3000.0,2.3431544620743034,7029.46338622291,5.0,3.514731693111455,3.5164899380806673,198143.9298256907
20210730,20210802,601169.SH,buy,1200.0,3.356598404676369,4027.9180856116427,5.0,0.0,2.012952566522472,194111.01174007906
20210730,20210802,601328.SH,buy,58800.0,3.29976392900452,194026.11902546577,58.207835707639724,0.0,96.9645772241056,26.684878905653022
20210831,20210901,601006.SH,sell,600.0,4.730994393796104,2838.5966362776626,5.0,1.4192983181388312,1.4200083222999638,2858.862216865177
20210831,20210901,601328.SH,sell,500.0,3.4042941351559923,1702.1470675779963,5.0,0.8510735337889982,0.8514992834304849,4555.158210909384
20210831,20210901,601169.SH,buy,400.0,3.403653522498934,1361.4614089995737,5.0,0.0,0.680390509244944,3188.6968019098103
20210831,20210901,601288.SH,buy,900.0,2.300329186730872,2070.296268057785,5.0,0.0,1.0346308186190072,1113.4005338520255
20210831,20210901,601988.SH,buy,400.0,2.376876698916408,950.7506795665632,5.0,0.0,0.47513777089773157,157.6498542854623
20210930,20211008,601006.SH,sell,900.0,4.894400450160772,4404.960405144695,5.0,2.2024802025723473,2.2035819935690597,4555.407779227585
20210930,20211008,601328.SH,sell,500.0,3.4890163873883813,1744.5081936941906,5.0,0.8722540968470953,0.8726904420680057,6294.043718824928
20210930,20211008,601169.SH,buy,200.0,3.4350236010473116,687.0047202094623,5.0,0.0,0.34333069475735556,5602.038998615466
20210930,20211008,601288.SH,buy,1600.0,2.300329186730872,3680.5266987693954,5.0,0.0,1.8393436775454575,1916.5122998460706
20210930,20211008,601988.SH,buy,700.0,2.392565654024767,1674.795957817337,5.0,0.0,0.8369794891639231,236.7163420287336
20211029,20211101,601006.SH,sell,100.0,4.933306654057121,493.3306654057121,5.0,0.24666533270285607,0.24678872706635957,724.8003421017429
20211029,20211101,601169.SH,sell,400.0,3.470763699283525,1388.30547971341,5.0,0.694152739856705,0.6944999898514652,2107.4116690752962
20211029,20211101,601288.SH,buy,600.0,2.292531460674157,1375.5188764044942,5.0,0.0,0.6874157303370794,726.892792670802
