trade_date,cash,positions_value,equity
20210104,1000000.0,0.0,1000000.0
20210105,1000000.0,0.0,1000000.0
20210106,1000000.0,0.0,1000000.0
20210107,1000000.0,0.0,1000000.0
20210108,1000000.0,0.0,1000000.0
20210111,1000000.0,0.0,1000000.0
20210112,1000000.0,0.0,1000000.0
20210113,1000000.0,0.0,1000000.0
20210114,1000000.0,0.0,1000000.0
20210115,1000000.0,0.0,1000000.0
20210118,1000000.0,0.0,1000000.0
20210119,1000000.0,0.0,1000000.0
20210120,1000000.0,0.0,1000000.0
20210121,1000000.0,0.0,1000000.0
20210122,1000000.0,0.0,1000000.0
20210125,1000000.0,0.0,1000000.0
20210126,1000000.0,0.0,1000000.0
20210127,1000000.0,0.0,1000000.0
20210128,1000000.0,0.0,1000000.0
20210129,1000000.0,0.0,1000000.0
20210201,268.55368427952635,1003134.4863802269,1003403.0400645065
20210202,268.55368427952635,998374.286564156,998642.8402484355
20210203,268.55368427952635,991286.4160941008,991554.9697783804
20210204,268.55368427952635,991517.8999351759,991786.4536194555
20210205,268.55368427952635,1012149.7117835236,1012418.2654678031
20210208,268.55368427952635,1012856.4172862673,1013124.9709705468
20210209,268.55368427952635,1011712.8152863823,1011981.3689706619
20210210,268.55368427952635,1015717.8012505798,1015986.3549348593
20210218,268.55368427952635,1024800.953431305,1025069.5071155846
20210219,268.55368427952635,1034663.4261791208,1034931.9798634003
20210222,268.55368427952635,1036297.4517486938,1036566.0054329734
20210223,268.55368427952635,1030692.6204491304,1030961.17413341
20210224,268.55368427952635,1023679.2693867078,1023947.8230709874
20210225,268.55368427952635,1043300.1239547594,1043568.677639039
20210226,268.55368427952635,1025527.2896105456,1025795.8432948252
20210301,643.6941674293485,1024800.0730312001,1025443.7671986294
20210302,643.6941674293485,1019107.1475504152,1019750.8417178446
20210303,643.6941674293485,1034953.6783614104,1035597.3725288397
20210304,643.6941674293485,1035530.171794821,1036173.8659622504
20210305,643.6941674293485,1042853.0236165767,1043496.717784006
20210308,643.6941674293485,1040469.0015885322,1041112.6957559616
20210309,643.6941674293485,1040010.4688332542,1040654.1630006835
20210310,643.6941674293485,1042114.4195797987,1042758.113747228
20210311,643.6941674293485,1045037.0886456224,1045680.7828130517
20210312,643.6941674293485,1052614.8221460779,1053258.5163135072
