trade_date,cash,positions_value,equity
20060104,1000000.0,0.0,1000000.0
20060105,1000000.0,0.0,1000000.0
20060106,1000000.0,0.0,1000000.0
20060109,1000000.0,0.0,1000000.0
20060110,1000000.0,0.0,1000000.0
20060111,1000000.0,0.0,1000000.0
20060112,1000000.0,0.0,1000000.0
20060113,1000000.0,0.0,1000000.0
20060116,1000000.0,0.0,1000000.0
20060117,1000000.0,0.0,1000000.0
20060118,1000000.0,0.0,1000000.0
20060119,1000000.0,0.0,1000000.0
20060120,1000000.0,0.0,1000000.0
20060123,1000000.0,0.0,1000000.0
20060124,1000000.0,0.0,1000000.0
20060125,1000000.0,0.0,1000000.0
20060206,17.597963289241306,1029558.4152932984,1029576.0132565877
20060207,17.597963289241306,1015907.188705947,1015924.7866692363
20060208,17.597963289241306,1022576.9559932081,1022594.5539564973
20060209,17.597963289241306,1021673.8584864086,1021691.4564496978
20060210,17.597963289241306,1048447.2291869777,1048464.827150267
20060213,17.597963289241306,1052987.8920599977,1053005.490023287
20060214,17.597963289241306,1037936.7859255504,1037954.3838888396
20060215,17.597963289241306,1039301.1047839961,1039318.7027472854
20060216,17.597963289241306,995549.0129755435,995566.6109388327
20060217,17.597963289241306,989237.8957975644,989255.4937608537
20060220,17.597963289241306,997193.3170083235,997210.9149716127
20060221,17.597963289241306,1029067.9808180485,1029085.5787813377
20060222,17.597963289241306,1027565.0676621074,1027582.6656253967
20060223,17.597963289241306,1027776.4016523538,1027793.999615643
20060224,17.597963289241306,1035696.6308591034,1035714.2288223926
20060227,17.597963289241306,1027682.2220478182,1027699.8200111075
20060228,17.597963289241306,1030902.7163978313,1030920.3143611206
20060301,39.225240384383596,1033703.6493779283,1033742.8746183127
20060302,39.225240384383596,1029432.9893533178,1029472.2145937021
20060303,39.225240384383596,1043660.7574526044,1043699.9826929887
20060306,39.225240384383596,1046834.378913661,1046873.6041540453
20060307,39.225240384383596,1016550.8284302636,1016590.0536706479
20060308,39.225240384383596,1006666.5939228096,1006705.8191631939
20060309,39.225240384383596,1015045.2491007082,1015084.4743410925
20060310,39.225240384383596,1018502.6908154074,1018541.9160557918
20060313,39.225240384383596,1025112.9437550828,1025152.1689954671
20060314,39.225240384383596,1021753.1694291062,1021792.3946694905
20060315,39.225240384383596,1031227.9032290569,1031267.1284694412
20060316,39.225240384383596,1035646.2292869284,1035685.4545273128
20060317,39.225240384383596,1024391.0757901673,1024430.3010305517
20060320,39.225240384383596,1032680.0043895587,1032719.229629943
20060321,39.225240384383596,1029019.8295130719,1029059.0547534563
20060322,39.225240384383596,1031961.6920784783,1032000.9173188626
20060323,39.225240384383596,1022773.5568556932,1022812.7820960776
20060324,39.225240384383596,1030007.5440305735,1030046.7692709578
20060327,39.225240384383596,1035845.7751436275,1035885.0003840119
20060328,39.225240384383596,1047094.4658533111,1047133.6910936955
20060329,39.225240384383596,1056409.6430424189,1056448.8682828033
20060330,39.225240384383596,1048043.4068940668,1048082.6321344512
20060331,39.225240384383596,1048520.7266587119,1048559.9518990963
20060403,17.876465666508366,1050486.900545373,1050504.7770110397
20060404,17.876465666508366,1049789.6210414022,1049807.4975070688
20060405,17.876465666508366,1048401.0599057693,1048418.9363714358
20060406,17.876465666508366,1047977.6008101088,1047995.4772757753
20060407,17.876465666508366,1043187.7221715753,1043205.5986372418
20060410,17.876465666508366,1053216.9495764123,1053234.826042079
20060411,17.876465666508366,1059101.010169822,1059118.8866354886
