trade_date,cash,positions_value,equity
20060104,1000000.0,0.0,1000000.0
20060105,1000000.0,0.0,1000000.0
20060106,1000000.0,0.0,1000000.0
20060109,31.636936914612306,1021620.7102573,1021652.3471942146
20060110,31.636936914612306,1022483.5950445827,1022515.2319814974
20060111,31.636936914612306,994925.6256788652,994957.2626157799
20060112,31.636936914612306,1006991.4355686203,1007023.072505535
20060113,31.636936914612306,1008933.7231402837,1008965.3600771984
20060116,11.245629303273745,994165.0486628369,994176.2942921402
20060117,11.245629303273745,1007906.5452860023,1007917.7909153056
20060118,11.245629303273745,1017674.1209172609,1017685.3665465642
20060119,11.245629303273745,1030873.6058175806,1030884.8514468839
20060120,11.245629303273745,1024155.0273718447,1024166.273001148
20060123,50.23919265344739,1032415.7219013108,1032465.9610939643
20060124,50.23919265344739,1032089.8321200436,1032140.071312697
20060125,50.23919265344739,1064075.0474428167,1064125.28663547
20060206,8.604878593032481,1108070.5956634292,1108079.2005420222
20060207,8.604878593032481,1113318.8093560361,1113327.4142346291
20060208,8.604878593032481,1144197.5196855916,1144206.1245641846
20060209,8.604878593032481,1117680.0447359919,1117688.6496145849
20060210,8.604878593032481,1149192.668909483,1149201.273788076
20060213,227092.24979118162,901017.5024328079,1128109.7522239895
20060214,227092.24979118162,912269.542464563,1139361.7922557446
20060215,227092.24979118162,919912.600247574,1147004.8500387557
20060216,227092.24979118162,886442.7737647982,1113535.0235559798
20060217,227092.24979118162,869789.1710910809,1096881.4208822625
20060220,17.617660354910186,1112137.5513718235,1112155.1690321784
20060221,17.617660354910186,1158738.7779133716,1158756.3955737264
20060222,17.617660354910186,1154503.383229097,1154521.0008894517
20060223,17.617660354910186,1141314.4471113938,1141332.0647717486
20060224,17.617660354910186,1152860.2177011822,1152877.835361537
20060227,46.995879448455526,1163981.4345644487,1164028.4304438971
20060228,46.995879448455526,1167415.0431289582,1167462.0390084067
20060301,46.995879448455526,1185096.1141712344,1185143.110050683
20060302,46.995879448455526,1159336.1664570333,1159383.1623364817
20060303,46.995879448455526,1161466.8465481112,1161513.8424275597
20060306,108.38117987575242,1161569.4608436103,1161677.842023486
20060307,108.38117987575242,1114200.7044757917,1114309.0856556674
20060308,108.38117987575242,1094523.8842846544,1094632.26546453
20060309,108.38117987575242,1085263.2499654233,1085371.631145299
20060310,108.38117987575242,1101872.4855626554,1101980.866742531
20060313,233989.93892344093,875626.2821287197,1109616.2210521607
20060314,233989.93892344093,867790.3315648326,1101780.2704882736
20060315,233989.93892344093,881232.9886824515,1115222.9276058925
20060316,233989.93892344093,876790.7612879819,1110780.7002114228
20060317,233989.93892344093,882025.0082471303,1116014.9471705712
20060320,21786.252529608202,1102867.8409285366,1124654.093458145
20060321,21786.252529608202,1113750.1911106517,1135536.44364026
20060322,21786.252529608202,1132774.410821544,1154560.663351152
20060323,21786.252529608202,1149393.5322296866,1171179.7847592947
20060324,21786.252529608202,1142788.420536388,1164574.6730659963
20060327,27267.37852268832,1174982.797542577,1202250.1760652652
20060328,27267.37852268832,1170660.8424905448,1197928.221013233
20060329,27267.37852268832,1175303.9534789599,1202571.3320016481
20060330,27267.37852268832,1168873.9569608192,1196141.3354835075
20060331,27267.37852268832,1284440.3779176704,1311707.7564403587
20060403,129.5649408720201,1343022.3111034557,1343151.8760443279
20060404,129.5649408720201,1366877.6458018618,1367007.210742734
20060405,129.5649408720201,1356144.9206560766,1356274.4855969488
