signal_date,trade_date,ts_code,side,shares,price,gross_amount,commission,stamp_duty,slippage,cash_after
20060106,20060109,000514.SZ,buy,98300.0,2.045031205601786,201026.5675106556,60.30797025319667,0.0,100.4630522292282,798913.1245190912
20060106,20060109,002001.SZ,buy,477600.0,0.4186773011365458,199960.27902281427,59.98808370684428,0.0,99.9301744241966,598892.8574125702
20060106,20060109,002025.SZ,buy,30800.0,6.502472796534209,200276.16213325365,60.082848639976085,0.0,100.08803704808815,398556.6124306765
20060106,20060109,002028.SZ,buy,117400.0,1.6976357765826535,199302.44017080351,59.79073205124105,0.0,99.60141937568551,199194.38152782177
20060106,20060109,600248.SH,buy,248900.0,0.7999317544668586,199103.0136868011,59.73090410604033,0.0,99.50175596540794,31.636936914612306
20060113,20060116,000514.SZ,sell,98300.0,1.972163640258891,193863.68583744898,58.15910575123469,96.9318429187245,96.98033308525919,193740.23182569366
20060113,20060116,002001.SZ,sell,477600.0,0.4124866835684844,197003.64007230813,59.10109202169244,98.50182003615407,98.55109558394179,390586.268985944
20060113,20060116,002025.SZ,sell,30800.0,6.358623698834778,195845.60992411117,58.753682977233346,97.92280496205558,97.97179085746757,586275.2024221158
20060113,20060116,002028.SZ,sell,117400.0,1.756692901160425,206235.74659623392,61.87072397887017,103.11787329811696,103.16945802708506,792345.9604210728
20060113,20060116,600248.SH,sell,248900.0,0.8436586512968298,209986.63830778093,62.99599149233428,104.99331915389047,105.04584207493463,1002164.6094182075
20060113,20060116,000063.SZ,buy,33100.0,6.028606904212096,199546.8885294204,59.86406655882611,0.0,99.7235824734671,802557.8568222283
20060113,20060116,000069.SZ,buy,134100.0,1.5117381451773284,202724.08526827974,60.817225580483914,0.0,101.31138694068068,599772.9543283681
20060113,20060116,000690.SZ,buy,319900.0,0.6279162532296122,200870.40940815295,60.26112282244588,0.0,100.38501219797763,398842.2837973927
20060113,20060116,002048.SZ,buy,153800.0,1.301398586841448,200155.1026562147,60.0465307968644,0.0,100.02753755933372,198627.13461038112
20060113,20060116,600383.SH,buy,296700.0,0.6692157805340496,198556.32208445252,59.56689662533575,0.0,99.22854676883435,11.245629303273745
20060120,20060123,000063.SZ,sell,33100.0,6.086879331209261,201475.70586302652,60.442711758907954,100.73785293151326,100.78824705505394,201325.77092763936
20060120,20060123,000069.SZ,sell,134100.0,1.5601520274002876,209216.38687437857,62.76491606231357,104.60819343718929,104.66052369901445,410374.7846925184
20060120,20060123,000690.SZ,sell,319900.0,0.6463995953353494,206783.23054777828,62.034969164333475,103.39161527388914,103.44333694234956,616992.5886558585
20060120,20060123,600383.SH,sell,296700.0,0.704824637910149,209121.47006794123,62.736441020382365,104.56073503397062,104.61304155472317,825946.7615477454
20060120,20060123,000829.SZ,buy,182000.0,1.1406776677928596,207603.33553830045,62.28100066149013,0.0,103.74979287269525,618281.1450087836
20060120,20060123,600479.SH,buy,138000.0,1.4973308586762075,206631.65849731665,61.98949754919499,0.0,103.26419715009979,411587.4970139177
20060120,20060123,600639.SH,buy,60500.0,3.338584043955453,201984.3346593049,60.59530039779147,0.0,100.94169648140087,209542.56705421503
20060120,20060123,600663.SH,buy,99600.0,2.0482615395667696,204006.84934085025,61.20205480225507,0.0,101.95244844618719,5474.515658562537
20060120,20060123,600822.SH,buy,1300.0,4.168674204545454,5419.27646590909,5.0,0.0,2.708284090908819,50.23919265344739
20060125,20060206,000829.SZ,sell,182000.0,1.1695253907098968,212853.62110920122,63.85608633276036,106.4268105546006,106.48005057984847,212733.5774049673
20060125,20060206,002048.SZ,sell,153800.0,1.2840472480283585,197486.46674676152,59.24594002402845,98.74323337338076,98.7926296882215,410062.05497833143
20060125,20060206,600479.SH,sell,138000.0,1.493186781814817,206059.77589044475,61.81793276713342,103.02988794522238,103.08142865952686,615956.9830480638
20060125,20060206,600639.SH,sell,60500.0,3.5806709736643896,216630.59390669558,64.98917817200866,108.3152969533478,108.3694816941861,832414.272479634
20060125,20060206,600663.SH,sell,99600.0,2.2764539457299633,226734.81299470435,68.0204438984113,113.36740649735218,113.42411855663522,1058967.6976239425
20060125,20060206,600822.SH,sell,1300.0,3.8574471444281526,5014.681287756598,5.0,2.5073406438782992,2.508594941348747,1063974.8715710551
20060125,20060206,000887.SZ,buy,489700.0,0.4515918893392624,221144.54820943682,66.34336446283103,0.0,110.51701559690991,842763.9799971555
20060125,20060206,000892.SZ,buy,70500.0,2.991495,210900.3975,63.27011924999999,0.0,105.39749999996275,631800.3123779055
20060125,20060206,002007.SZ,buy,402600.0,0.5223542340275324,210299.81461948456,63.089944385845364,0.0,105.09735863038804,421437.4078140351
20060125,20060206,600495.SH,buy,159900.0,1.3183598182895515,210805.73494449927,63.24172048334977,0.0,105.3501923760341,210568.43114905246
20060125,20060206,600967.SH,buy,210600.0,0.9995093887335197,210496.67726727924,63.14900318018377,0.0,105.19574076324352,8.604878593032481
20060210,20060213,000887.SZ,sell,489700.0,0.45351494693898964,222086.26951602323,66.62588085480697,111.04313475801162,111.09868410005583,221917.20537900343
20060210,20060213,000892.SZ,sell,70500.0,3.2483750000000002,229010.43750000003,68.70313125,114.50521875000001,114.5624999999709,450744.43452900345
20060210,20060213,002007.SZ,sell,402600.0,0.5458882324391104,219774.60237998585,65.93238071399576,109.88730118999293,109.94227232618141,670343.2172270853
20060210,20060213,600495.SH,sell,159900.0,1.5883028244124038,253969.62162354335,76.190886487063,126.98481081177168,127.04833497927757,924109.6631533299
20060210,20060213,600967.SH,sell,210600.0,1.0306053553127552,217045.48782886626,65.11364634865987,108.52274391443314,108.57703243062133,1140981.514591933
20060210,20060213,600030.SH,buy,167400.0,1.3650276953993241,228505.63620984685,68.55169086295405,0.0,114.19572024478111,912407.3266912232
20060210,20060213,600289.SH,buy,78700.0,2.908153961303462,228871.71675458248,68.66151502637474,0.0,114.37866904278053,683466.9484216144
20060210,20060213,600331.SH,buy,56300.0,4.04365415,227657.728645,68.2973185935,0.0,113.77197833333048,455740.92245802085
20060210,20060213,600718.SH,buy,81200.0,2.815025845286306,228580.09863724807,68.57402959117441,0.0,114.2329328522028,227092.24979118162
20060217,20060220,600030.SH,sell,167400.0,1.3889163748744024,232504.60115397497,69.75138034619249,116.2523005769875,116.31045580486534,459410.8472642334
20060217,20060220,600289.SH,sell,78700.0,2.785266547861507,219200.4773167006,65.76014319501017,109.60023865835029,109.65506619142252,678435.9641990806
20060217,20060220,600718.SH,sell,81200.0,2.568704937388295,208578.84091592956,62.57365227477886,104.28942045796478,104.34159125355654,886847.9420422774
20060217,20060220,000060.SZ,buy,221600.0,0.9849472943167272,218264.32042058677,65.47929612617602,0.0,109.0776213995996,668518.1423255645
20060217,20060220,000762.SZ,buy,76500.0,2.8670720642500545,219331.01291512916,65.79930387453874,0.0,109.61070110701257,449121.33010656084
20060217,20060220,600331.SH,buy,3000.0,3.6718238833333334,11015.47165,5.0,0.0,5.504983333332348,438100.8584565608
20060217,20060220,600405.SH,buy,146500.0,1.496765471060414,219276.14151035063,65.78284245310519,0.0,109.58327911561355,218758.93410375708
20060217,20060220,600489.SH,buy,255900.0,0.8545358098057186,218675.7137292834,65.60271411878502,0.0,109.28321525698993,17.617660354910186
20060224,20060227,000060.SZ,sell,221600.0,1.051106705451863,232925.24592813285,69.87757377843985,116.46262296406643,116.52088340575574,232756.52339174526
20060224,20060227,000762.SZ,sell,76500.0,3.0854256204326753,236035.05996309966,70.81051798892989,118.01752998154983,118.07656826564926,468602.7553068744
20060224,20060227,600331.SH,sell,59300.0,4.034969283888889,239273.6785346111,71.78210356038332,119.63683926730555,119.69668761108187,707685.0148986578
20060224,20060227,600405.SH,sell,146500.0,1.5239327658076327,223256.15019081818,66.97684505724546,111.62807509540909,111.68391705391696,930762.5601693233
20060224,20060227,600489.SH,sell,255900.0,0.88579266411732,226674.3427476222,68.00230282428666,113.3371713738111,113.39386830796138,1157255.5634427476
20060224,20060227,000612.SZ,buy,139200.0,1.6736958959150483,232978.46871137473,69.89354061341241,0.0,116.43101884628413,924207.2011907594
20060224,20060227,000807.SZ,buy,161200.0,1.4322290213860316,230875.31824742828,69.26259547422848,0.0,115.37996913911775,693262.6203478569
20060224,20060227,600262.SH,buy,72700.0,3.1638557558945912,230012.31345353677,69.00369403606102,0.0,114.948682385555,463181.303200284
20060224,20060227,600360.SH,buy,95600.0,2.434446741428787,232733.10848059205,69.8199325441776,0.0,116.30840004025958,230378.3747871478
20060224,20060227,600458.SH,buy,194200.0,1.185696705549094,230262.30021763404,69.0786900652902,0.0,115.0736133021419,46.995879448455526
20060303,20060306,000612.SZ,sell,139200.0,1.6511227484932558,229836.2865902612,68.95088597707836,114.9181432951306,114.9756311106612,229699.41344043746
20060303,20060306,000807.SZ,sell,161200.0,1.4072129338115866,226842.72493042776,68.05281747912832,113.42136246521389,113.47810151596786,456360.6641909209
20060303,20060306,600262.SH,sell,72700.0,3.3070834951456316,240424.9700970874,72.12749102912622,120.21248504854371,120.27262135921046,696593.2943119307
20060303,20060306,600360.SH,sell,95600.0,2.547214151311484,243513.67286537788,73.05410185961335,121.75683643268894,121.81774530533585,939912.1562390162
20060303,20060306,600458.SH,sell,194200.0,1.1427053095816588,221913.37112075815,66.57401133622744,110.95668556037907,111.01219165619113,1161647.9966628777
20060303,20060306,600330.SH,buy,101700.0,2.2789623284425047,231770.46880260273,69.53114064078082,0.0,115.82732074093656,929807.9967196342
20060303,20060306,600348.SH,buy,268100.0,0.8611156891958506,230865.11627340753,69.25953488202225,0.0,115.37487070134375,698873.6209113447
20060303,20060306,600533.SH,buy,134900.0,1.7156797564167086,231445.199140614,69.43355974218419,0.0,115.66476718671038,467358.98821098846
20060303,20060306,600547.SH,buy,277900.0,0.8543589994428967,237426.365945181,71.2279097835543,0.0,118.65385604454787,229861.39435602393
20060303,20060306,600675.SH,buy,207200.0,1.1085140344776305,229684.10794376503,68.9052323831295,0.0,114.78466164105339,108.38117987575242
20060310,20060313,600330.SH,sell,101700.0,2.1725224688481206,220945.53508185386,66.28366052455615,110.47276754092692,110.52803155672154,220877.15983366413
20060310,20060313,600348.SH,sell,268100.0,0.7956983456197972,213326.72646066765,63.99801793820029,106.66336323033383,106.71672159113223,434033.2249131632
20060310,20060313,600533.SH,sell,134900.0,1.737414703069955,234377.24344413693,70.31317303324107,117.18862172206846,117.2472453447408,668222.9665625448
20060310,20060313,600675.SH,sell,207200.0,1.068118940962491,221314.24456742813,66.39427337022843,110.65712228371407,110.71247852293891,889360.159734319
20060310,20060313,000006.SZ,buy,279300.0,0.7792507794413689,217644.74269797432,65.29342280939228,0.0,108.76798735529883,671650.1236135352
20060310,20060313,600489.SH,buy,276400.0,0.7973054298829503,220375.22081964745,66.11256624589423,0.0,110.1325441377412,451208.7902276418
20060310,20060313,600498.SH,buy,96500.0,2.250297463136198,217153.7051926431,65.14611155779292,0.0,108.52259130065795,233989.93892344093
20060317,20060320,000006.SZ,sell,279300.0,0.8075489676648214,225548.4266687846,67.66452800063537,112.77421333439231,112.83062864872045,459357.9268508905
20060317,20060320,600489.SH,sell,276400.0,0.8184379610986732,226216.25244767327,67.86487573430198,113.10812622383663,113.1647085781151,685393.2062966056
20060317,20060320,600498.SH,sell,96500.0,2.3918905026161412,230817.43350245763,69.24523005073728,115.40871675122882,115.46644997620024,916025.9858522613
20060317,20060320,000721.SZ,buy,178800.0,1.269739029850746,227029.3385373134,68.10880156119401,0.0,113.45794029848184,688928.5385133867
20060317,20060320,000911.SZ,buy,41400.0,5.338083271572261,220996.64744309158,66.29899423292747,0.0,110.44310217045131,467865.5920760622
20060317,20060320,600168.SH,buy,135300.0,1.6353719204042956,221265.82083070118,66.37974624921034,0.0,110.57762160454877,246533.39149911184
20060317,20060320,600588.SH,buy,284000.0,0.791125827637285,224679.73504898895,67.40392051469668,0.0,112.28372566166217,21786.252529608202
20060324,20060327,000721.SZ,sell,178800.0,1.278354106609808,228569.7142618337,68.5709142785501,114.28485713091685,114.34202814495075,250173.1110200324
