trade_date,cash,positions_value,equity
20060104,1000000.0,0.0,1000000.0
20060105,1000000.0,0.0,1000000.0
20060106,1000000.0,0.0,1000000.0
20060109,1000000.0,0.0,1000000.0
20060110,1000000.0,0.0,1000000.0
20060111,1000000.0,0.0,1000000.0
20060112,1000000.0,0.0,1000000.0
20060113,1000000.0,0.0,1000000.0
20060116,1000000.0,0.0,1000000.0
20060117,1000000.0,0.0,1000000.0
20060118,1000000.0,0.0,1000000.0
20060119,1000000.0,0.0,1000000.0
20060120,1000000.0,0.0,1000000.0
20060123,1000000.0,0.0,1000000.0
20060124,1000000.0,0.0,1000000.0
20060125,1000000.0,0.0,1000000.0
20060206,132.16946975360042,1016023.3937532986,1016155.5632230522
20060207,132.16946975360042,1013938.1240586651,1014070.2935284188
20060208,132.16946975360042,1022158.0471202175,1022290.2165899711
20060209,132.16946975360042,1016414.1365153351,1016546.3059850887
20060210,132.16946975360042,1042228.8700710261,1042361.0395407798
20060213,132.16946975360042,1043292.7381744522,1043424.9076442058
20060214,132.16946975360042,1032252.3766160881,1032384.5460858417
20060215,132.16946975360042,1046800.3410478446,1046932.5105175982
20060216,132.16946975360042,1019541.1524904944,1019673.321960248
20060217,132.16946975360042,1024281.9832807925,1024414.1527505461
20060220,132.16946975360042,1028865.0448717474,1028997.214341501
20060221,132.16946975360042,1041648.8399623833,1041781.0094321369
20060222,132.16946975360042,1039649.5254265039,1039781.6948962575
20060223,132.16946975360042,1035910.3137710686,1036042.4832408222
20060224,132.16946975360042,1037883.4246077257,1038015.5940774793
20060227,132.16946975360042,1036998.6068674788,1037130.7763372324
20060228,132.16946975360042,1032000.3205277803,1032132.489997534
20060301,6.163288771904249,1038564.0073556062,1038570.170644378
20060302,6.163288771904249,1022535.6253347351,1022541.788623507
20060303,6.163288771904249,1016528.5292815117,1016534.6925702835
20060306,6.163288771904249,1014790.9836602873,1014797.1469490592
20060307,6.163288771904249,1004605.8349576399,1004611.9982464118
20060308,6.163288771904249,1005858.0804735902,1005864.243762362
20060309,6.163288771904249,1001878.6811571372,1001884.844445909
20060310,6.163288771904249,1009292.455966665,1009298.6192554368
20060313,6.163288771904249,1013550.3897682119,1013556.5530569837
20060314,6.163288771904249,1009107.8264015903,1009113.9896903621
20060315,6.163288771904249,1011660.7412214683,1011666.9045102402
20060316,6.163288771904249,1015900.5067874225,1015906.6700761943
20060317,6.163288771904249,1011064.0909529668,1011070.2542417387
20060320,6.163288771904249,1020667.9538955593,1020674.1171843312
20060321,6.163288771904249,1022812.7314098659,1022818.8946986378
20060322,6.163288771904249,1025862.9241302018,1025869.0874189737
20060323,6.163288771904249,1026923.1393193571,1026929.302608129
20060324,6.163288771904249,1026680.1390218631,1026686.302310635
20060327,6.163288771904249,1030759.2954832969,1030765.4587720687
20060328,6.163288771904249,1032258.1806614905,1032264.3439502624
20060329,6.163288771904249,1035359.0333241998,1035365.1966129717
20060330,6.163288771904249,1037091.7741179364,1037097.9374067083
20060331,6.163288771904249,1038712.8792437981,1038719.04253257
20060403,32.145877670905406,1042615.4647659615,1042647.6106436325
20060404,32.145877670905406,1040886.2998086662,1040918.4456863372
20060405,32.145877670905406,1043837.5547136226,1043869.7005912935
20060406,32.145877670905406,1066311.3793175458,1066343.5251952168
20060407,32.145877670905406,1062473.1374199504,1062505.2832976214
20060410,32.145877670905406,1082685.643442952,1082717.789320623
20060411,32.145877670905406,1086180.602651051,1086212.748528722
