signal_date,trade_date,ts_code,side,shares,price,gross_amount,commission,stamp_duty,slippage,cash_after
20210129,20210201,600015.SH,buy,43900.0,4.554963174988517,199962.8833819959,59.988865014598765,0.0,99.93147595299524,799977.1277529895
20210129,20210201,600016.SH,buy,52400.0,3.8154476820488226,199929.4585393583,59.97883756180749,0.0,99.91477188374847,599987.6903760694
20210129,20210201,600657.SH,buy,54800.0,3.636318585582913,199270.25848994363,59.781077546983084,0.0,99.58533657668158,400657.6508085788
20210129,20210201,601328.SH,buy,62400.0,3.2106149046411643,200342.37004960864,60.10271101488259,0.0,100.12112446254469,200255.1780479553
20210129,20210201,601988.SH,buy,85300.0,2.338184761996904,199447.16019833589,59.83414805950076,0.0,99.67374322755495,748.1837015599012
20210226,20210301,600657.SH,sell,54800.0,3.867682515574014,211949.00185345596,63.584700556036786,105.97450092672798,106.02751468407223,212527.6263535331
20210226,20210301,600015.SH,buy,200.0,4.674437618922642,934.8875237845284,5.0,0.0,0.467210156813735,211587.73882974856
20210226,20210301,600016.SH,buy,700.0,3.8826473476817767,2717.8531433772437,5.0,0.0,1.3582474479644588,208864.88568637133
20210226,20210301,601169.SH,buy,58400.0,3.5157637825001524,205320.6048980089,61.596181469402666,0.0,102.60899795003934,3482.684606893017
20210226,20210301,601328.SH,buy,300.0,3.289800474038144,986.9401422114431,5.0,0.0,0.49322345937594037,2490.744464681574
20210226,20210301,601988.SH,buy,800.0,2.3898166021671825,1911.853281733746,5.0,0.0,0.9554489164083861,573.8911829478279
20210331,20210401,600015.SH,sell,200.0,4.7965802358769105,959.3160471753821,5.0,0.47965802358769105,0.47989797257400824,1527.7275720996222
20210331,20210401,601328.SH,sell,3500.0,3.566980546062544,12484.431911218904,5.0,6.242215955609452,6.245338624921715,14000.917267362916
20210331,20210401,601988.SH,sell,500.0,2.468482633513932,1234.241316756966,5.0,0.617120658378483,0.6174293730648515,15229.541463461504
20210331,20210401,600016.SH,buy,2800.0,3.7557146459306416,10516.001008605797,5.0,0.0,5.255372817893658,4708.540454855707
20210331,20210401,601169.SH,buy,1300.0,3.5304740912135415,4589.616318577604,5.0,0.0,2.2936613286237844,113.9241362781031
20210430,20210506,600016.SH,sell,55900.0,3.5058083098522466,195974.6845207406,58.79240535622217,97.9873422603703,98.03636044057203,195931.8289094021
20210430,20210506,601169.SH,sell,1200.0,3.504901972842964,4205.8823674115565,5.0,2.102941183705778,2.103993180296129,200130.60833562995
20210430,20210506,601328.SH,sell,200.0,3.4591081505162977,691.8216301032595,5.0,0.34591081505162974,0.3460838569801581,200817.08405491814
20210430,20210506,601988.SH,sell,500.0,2.402165189628483,1201.0825948142415,5.0,0.6005412974071207,0.6008417182661105,202012.56610843498
20210430,20210506,601077.SH,buy,65500.0,3.0830180113636363,201937.6797443182,60.58130392329545,0.0,100.91838068183279,14.305060193495592
20210531,20210601,600015.SH,sell,200.0,4.774201167902369,954.8402335804738,5.0,0.4774201167902369,0.4776589462633183,963.6678736571791
20210531,20210601,601169.SH,sell,400.0,3.6004234102579717,1440.1693641031886,5.0,0.7200846820515944,0.7204449045038928,2398.1171530783163
20210531,20210601,601077.SH,buy,400.0,3.1574870454545456,1262.9948181818183,5.0,0.0,0.631181818181858,1130.122334896498
20210531,20210601,601328.SH,buy,100.0,3.520158494102083,352.0158494102083,5.0,0.0,0.1759199647227092,773.1064854862896
20210531,20210601,601988.SH,buy,100.0,2.4488244195046436,244.88244195046437,5.0,0.0,0.12238003095973227,523.2240435358252
20210630,20210701,601077.SH,sell,100.0,3.1297908558238636,312.97908558238635,5.0,0.15648954279119318,0.15656782670458824,831.0466395754204
20210630,20210701,601169.SH,sell,500.0,3.5857278045018166,1792.8639022509083,5.0,0.8964319511254542,0.8968803913210195,2618.0141098752033
20210630,20210701,601328.SH,sell,700.0,3.531023080880462,2471.7161566163236,5.0,1.2358580783081619,1.236476316466451,5083.4944084132185
20210630,20210701,600015.SH,buy,1000.0,4.622167549701462,4622.167549701462,5.0,0.0,2.3099288104449442,456.32685871175636
20210630,20210701,601988.SH,buy,100.0,2.416099086687306,241.6099086687306,5.0,0.0,0.12074458204332927,209.71695004302575
20210730,20210802,601077.SH,sell,200.0,2.9572209339488635,591.4441867897727,5.0,0.29572209339488637,0.2958700284090128,795.8654147394036
20210730,20210802,601988.SH,sell,2300.0,2.3431544620743034,5389.255262770898,5.0,2.6946276313854494,2.6959756191945417,6177.426049878916
20210730,20210802,600015.SH,buy,700.0,4.294594226100649,3006.2159582704544,5.0,0.0,1.5023568007345602,3166.210091608462
20210730,20210802,601169.SH,buy,300.0,3.356598404676369,1006.9795214029107,5.0,0.0,0.503238141630618,2154.230570205551
20210730,20210802,601328.SH,buy,600.0,3.29976392900452,1979.858357402712,5.0,0.0,0.989434461470637,169.37221280283893
20210831,20210901,601077.SH,sell,65600.0,3.0513499822443184,200168.55883522728,60.050567650568176,100.08427941761364,100.13434659090126,200177.79620096195
20210831,20210901,600015.SH,sell,100.0,4.3922650744701786,439.22650744701787,5.0,0.21961325372350893,0.21972311528111277,200611.80309515525
20210831,20210901,601328.SH,sell,400.0,3.4042941351559923,1361.7176540623968,5.0,0.6808588270311984,0.6811994267445698,201967.8398903906
20210831,20210901,601169.SH,buy,500.0,3.403653522498934,1701.8267612494672,5.0,0.0,0.8504881365563506,200261.01312914115
20210831,20210901,601288.SH,buy,86300.0,2.300329186730872,198518.40881487427,59.55552264446228,0.0,99.20959960762411,1683.0487916224229
